"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override","scenario"
"219","Fakai","Birnin Kebbi",NA,0.666666667,0.666666667,0.49,0,-1,2020,-1,"Scenario 1"
"220","Faskari","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2020,-1,"Scenario 1"
"221","Fika","Darazo",NA,0.095238095,0.095238095,0.49,0,-1,2020,-1,"Scenario 1"
"222","Fufore","Alkaleri",NA,0.139280114,0.139280114,0.49,0,-1,2020,-1,"Scenario 1"
"223","Funakaye","Alkaleri",NA,0.045454545,0.045454545,0.49,0,-1,2020,-1,"Scenario 1"
"224","Fune","Darazo",NA,0.03153893,0.03153893,0.49,0,-1,2020,-1,"Scenario 1"
"225","Funtua","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2020,-1,"Scenario 1"
"226","Gabasawa","Taura",NA,0.174928041,0.174928041,0.49,0,-1,2020,-1,"Scenario 1"
"227","Gada","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2020,-1,"Scenario 1"
"228","Gagarawa","Taura",NA,0.174928041,0.174928041,0.49,0,-1,2020,-1,"Scenario 1"
"229","Gamawa","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2020,-1,"Scenario 1"
"230","Ganaye","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2020,-1,"Scenario 1"
"231","Ganjuwa","Darazo",NA,0.101826237,0.101826237,0.49,0,-1,2020,-1,"Scenario 1"
"232","Garki","Babura",NA,0.666666667,0.666666667,0.49,0,-1,2020,-1,"Scenario 1"
"233","Garko","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2020,-1,"Scenario 1"
"234","Garum Mallam","Gwarzo",NA,0.153846154,0.153846154,0.49,0,-1,2020,-1,"Scenario 1"
"235","Gashaka","Oru West",NA,0.411077428,0.411077428,0.49,0,-1,2020,-1,"Scenario 1"
"236","Gassol","Keana",NA,0.086136445,0.086136445,0.49,0,-1,2020,-1,"Scenario 1"
"237","Gawabawa","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2020,-1,"Scenario 1"
"238","Gaya","Gwarzo",NA,0.166666667,0.166666667,0.49,0,-1,2020,-1,"Scenario 1"
"239","Gbako","Oke-Ero",NA,0.461538462,0.461538462,0.49,0,-1,2020,-1,"Scenario 1"
"240","Gboko","Keana",NA,0.140281332,0.140281332,0.49,0,-1,2020,-1,"Scenario 1"
"241","Gboyin","Obubra",NA,0.438502596,0.438502596,0.49,0,-1,2020,-1,"Scenario 1"
"242","Geidam","Babura",NA,0.349277359,0.349277359,0.49,0,-1,2020,-1,"Scenario 1"
"243","Gezawa","Gwarzo",NA,0.25,0.25,0.49,0,-1,2020,-1,"Scenario 1"
"244","Giade","Darazo",NA,0.142857143,0.142857143,0.49,0,-1,2020,-1,"Scenario 1"
